layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
241,TAdaConv2dV2,0.06250129585720088,1,1,1.0,6.742391314445344,-16.38560055102135,1.008255625747363,True,0.0037133358418941498,conv2d,-15.582425973307151,-0.06110942152864733,-2.4302357704922524,backbone.layers.8.tada.tadaconv,1536,0.8687415202158839,1536,74,0,512,0.6675394310472879,0.0037133358418941498,233.95177737889287,success,0.060937147587537766,0.0274034570902586,under-trained,67,0.0037133358418941498,0.0019249157048761845
257,Linear,0.03985360789190595,512,1024,2.0,2.7081523804563914,-3.2415081271340345,0.9117121075545705,True,0.06354121118783951,dense,-2.508288940627808,0.3528873878357459,-1.1969445111459198,backbone.layers.8.tada.tada_proj,512,2.25365476575098,512,70,0,1,0.20416325942241267,0.06354121118783951,35.46760792910859,success,0.25207382440567017,0.012594100087881088,,0,0.06354121118783951,0.008464514277875423
259,NonDynamicallyQuantizableLinear,0.09634231518318714,1024,1024,1.0,4.791057272047738,0.5772993334283143,0.9662768297771941,True,1.3197606801986694,dense,1.6964921051603838,2.3107633267519994,0.12049518522694924,backbone.layers.8.attn.out_proj,1024,204.53297094794667,1024,87,0,1,0.4064440021650355,1.3197606801986694,154.97731824921274,success,1.1488083600997925,0.0005092463688924909,,1,1.3197606801986694,0.6108542084693909
262,Linear,0.02071386783419016,1024,4096,4.0,4.3164499802409075,5.372247806859402,1.0049206684363015,True,17.562997817993164,dense,5.407195011641369,2.9843220090308717,1.2445986473726192,backbone.layers.8.mlp.c_fc,1024,964.5439227316529,1024,111,0,1,0.3147835016258875,17.562997817993164,54.91909369501171,success,4.190823078155518,0.16036145389080048,,0,17.562997817993164,1.9462836980819702
264,Linear,0.05517547696102454,1024,4096,4.0,4.085930408493496,2.7658027706386807,1.0133466976001506,True,4.752355575561523,dense,3.6392673851899056,2.8715530083887675,0.676908927496503,backbone.layers.8.mlp.c_proj,1024,743.965863105841,1024,130,0,1,0.27065400117926375,4.752355575561523,156.54675902863946,success,2.179989814758301,0.052997540682554245,,0,4.752355575561523,1.3627910614013672
269,Linear,0.07218471114847025,512,1024,2.0,11.379090754968425,1.6851911169446534,0.9860281188998049,True,1.4063564538955688,dense,2.0897872844852494,2.303866492335622,0.14809541054137848,backbone.layers.9.tada.tada_pre_proj,512,201.31053004786372,512,18,0,1,2.4463751517962593,1.4063564538955688,143.14331867304273,success,1.185899019241333,0.18446506559848785,under-trained,0,1.4063564538955688,0.9939179420471191
270,TAdaConv2dV2,0.03634604755723969,1,1,1.0,6.3064150040440525,-15.526240343658579,1.0079337376107613,True,0.0034516307059675455,conv2d,-14.526906169853099,-0.07208860653575053,-2.4619756761491622,backbone.layers.9.tada.tadaconv,1536,0.8470545769718644,1536,113,0,512,0.4991855330608071,0.0034516307059675455,245.40706962288476,success,0.05875058099627495,0.022409677505493164,under-trained,49,0.0034516307059675455,0.0016619226662442088
286,Linear,0.047139953701080484,512,1024,2.0,2.8876940765999386,-3.0318726406010668,0.9172763780004373,True,0.08913974463939667,dense,-2.334911310031505,0.5228097813252852,-1.0499286143810942,backbone.layers.9.tada.tada_proj,512,3.3328040574415354,512,50,0,1,0.2669602564738989,0.08913974463939667,37.38853045769835,success,0.29856279492378235,0.01505435910075903,,0,0.08913974463939667,0.015825636684894562
288,NonDynamicallyQuantizableLinear,0.07406309699694902,1024,1024,1.0,5.088861853311801,0.6532265427830691,0.9711198521070855,True,1.3438907861709595,dense,1.7139746884225866,2.3221495055155232,0.1283639763885422,backbone.layers.9.attn.out_proj,1024,209.96625663235287,1024,66,0,1,0.5033041019326673,1.3438907861709595,156.23758923937035,success,1.159263014793396,0.00019033424905501306,,2,1.3438907861709595,0.6594306826591492
291,Linear,0.02137346618812097,1024,4096,4.0,4.324102569377293,5.752143135595643,1.0039981180041957,True,21.391996383666992,dense,5.768038974948632,2.989864405906932,1.330251316500108,backbone.layers.9.mlp.c_fc,1024,976.932158568874,1024,69,0,1,0.4001749235590827,21.391996383666992,45.66811535714225,success,4.625148296356201,0.1617610901594162,,0,21.391996383666992,2.306413412094116
293,Linear,0.060175270392844205,1024,4096,4.0,4.87161137012909,3.3856095255698326,1.0146521298119782,True,4.954126358032227,dense,3.99393788826084,2.868419782038491,0.6949670793382928,backbone.layers.9.mlp.c_proj,1024,738.6178212685045,1024,57,0,1,0.5128074533716906,4.954126358032227,149.09143770040671,success,2.2257866859436035,0.053708646446466446,,0,4.954126358032227,1.8463350534439087
298,Linear,0.045831832642292736,512,1024,2.0,9.114390142168975,2.7582917171656853,0.9850071756890983,True,2.0073838233947754,dense,2.803547237316698,2.3017534455134836,0.3026304200435826,backbone.layers.10.tada.tada_pre_proj,512,200.3334386125207,512,30,0,1,1.4814781737545,2.0073838233947754,99.79827289517955,success,1.4168217182159424,0.18658709526062012,under-trained,0,2.0073838233947754,0.9277805685997009
299,TAdaConv2dV2,0.07096979205936482,1,1,1.0,3.973339491899633,-9.734204313161657,1.006184183167263,True,0.0035491157323122025,conv2d,-8.54649150170903,-0.13632753565634761,-2.4498798386109675,backbone.layers.10.tada.tadaconv,1536,0.7305878818238986,1536,224,0,512,0.19866460130808822,0.0035491157323122025,205.85067857111835,success,0.05957445502281189,0.020036546513438225,,52,0.0035491157323122025,0.0010678984690457582
315,Linear,0.050340871423745104,512,1024,2.0,3.0476193034673242,-2.821021327157993,0.9248119596302661,True,0.11867314577102661,dense,-2.1181854303153167,0.6927658121648885,-0.9256475452654054,backbone.layers.10.tada.tada_proj,512,4.929079378751339,512,54,0,1,0.2786456933871137,0.11867314577102661,41.53491800294677,success,0.3444896936416626,0.019037559628486633,,0,0.11867314577102661,0.022890930995345116
317,NonDynamicallyQuantizableLinear,0.07538448530856123,1024,1024,1.0,5.807479247570959,0.831408206475583,0.9739589285735086,True,1.390470027923584,dense,1.5353050792921512,2.3031407537361086,0.14316163192891795,backbone.layers.10.attn.out_proj,1024,200.9744060003354,1024,60,0,1,0.6206429021026696,1.390470027923584,144.5370284611272,success,1.1791819334030151,0.00016307859914377332,,1,1.390470027923584,0.6519537568092346
320,Linear,0.0178206616251807,1024,4096,4.0,4.247098444363711,6.122704169112777,1.00445361316304,True,27.645248413085938,dense,6.128843266834862,3.0001235829710624,1.441620496750709,backbone.layers.10.mlp.c_fc,1024,1000.2846007980406,1024,74,0,1,0.3774675269260103,27.645248413085938,36.18287619815902,success,5.257874965667725,0.16591277718544006,,0,27.645248413085938,2.233966588973999
322,Linear,0.05917547220118785,1024,4096,4.0,4.101441435383014,2.7260577473462138,1.0169310092492874,True,4.620175361633301,dense,3.6690376033485834,2.894091009422472,0.6646584597865018,backbone.layers.10.mlp.c_proj,1024,783.5938330874778,1024,125,0,1,0.27740135511003766,4.620175361633301,169.60261716353244,success,2.1494593620300293,0.0549902580678463,,0,4.620175361633301,1.4224153757095337
